0.5280759088,0.4954381819,0.32638888888888884,64,64,64,80,"23095;KIF1B;DOID:2377,DOID:170,DOID:0110267,DOID:2431,DOID:0110259,DOID:254,DOID:471,DOID:4,DOID:0110271,DOID:870,DOID:0110255,DOID:0110262,DOID:557,DOID:3213,DOID:0110227,DOID:576,DOID:0060072,DOID:74,DOID:2388,DOID:0110252,DOID:14566,DOID:0110265,DOID:331,DOID:0050828,DOID:0110264,DOID:483,DOID:0110253,DOID:0060158,DOID:1492,DOID:0110236,DOID:0110254,DOID:0110230,DOID:0110229,DOID:5614,DOID:0110268,DOID:10021,DOID:1289,DOID:175,DOID:0110263,DOID:10575,DOID:10595,DOID:0110246,DOID:3316,DOID:0050771,DOID:110,DOID:0050686,DOID:0110261,DOID:0110251,DOID:182,DOID:468,DOID:1247,DOID:114,DOID:3093,DOID:2621,DOID:10154,DOID:3165,DOID:3953,DOID:0110266,DOID:0050155,DOID:18,DOID:0110260,DOID:0110270,DOID:0110242,DOID:1475,DOID:769,DOID:574,DOID:474,DOID:0110239,DOID:176,DOID:0110238,DOID:0110228,DOID:3119,DOID:1287,DOID:0050539,DOID:0110269,DOID:469,DOID:0110243,DOID:440,DOID:484,DOID:0110272,DOID:863,DOID:2972,DOID:1192,DOID:0110245,DOID:117,DOID:83,DOID:2213,DOID:0110256,DOID:12678,DOID:255,DOID:2725,DOID:0110240,DOID:0014667,DOID:0110235,DOID:0110258,DOID:0110154,DOID:0060084,DOID:0060085,DOID:0060121,DOID:0110257,DOID:277,DOID:0110232,DOID:0050032,DOID:0110248,DOID:11561,DOID:178,DOID:10155,DOID:7,DOID:0110237,DOID:0110241,DOID:0110249,DOID:5679,DOID:2485,DOID:0110233,DOID:6000,DOID:0110234,DOID:0110231,DOID:3850,DOID:162,DOID:12679,DOID:0110250"
0.5679928348,0.2872074277,0.0,64,64,64,80,5565;PRKAB2;N
0.6301143198,0.4038513591,0.07870370370370369,0,171,255,140,"5562;PRKAA1;DOID:4,DOID:10534,DOID:11716,DOID:0014667,DOID:9351,DOID:0060158,DOID:0050686,DOID:4194,DOID:10603,DOID:4195,DOID:3119,DOID:162,DOID:0050013,DOID:14566"
0.4493524129,0.6600402424,0.0,64,64,64,80,5571;PRKAG1;N
0.6272418693,0.3749706098,0.07638888888888888,64,64,64,80,"5347;PLK1;DOID:3071,DOID:2531,DOID:1240,DOID:3068,DOID:0050687,DOID:5076,DOID:0050686,DOID:0060083,DOID:162,DOID:4,DOID:3070,DOID:14566,DOID:3069"
0.2563470013,0.6978593214,0.0,64,64,64,80,10651;MTX2;N
0.6533869815,0.3167162351,0.0,64,64,64,80,79649;MAP7D3;N
0.3007220328,0.7238809958,0.0,64,64,64,80,55288;RHOT1;N
0.8722093092,0.5701956943,0.0,64,64,64,80,3831;KLC1;N
0.592803674,0.6018289646,0.09722222222222221,64,64,64,80,"3800;KIF5C;DOID:5691,DOID:4,DOID:2490,DOID:345,DOID:11832,DOID:12697,DOID:780,DOID:229,DOID:1826,DOID:331,DOID:7,DOID:15,DOID:12835,DOID:1393,DOID:1492,DOID:863,DOID:0080015,DOID:5614,DOID:3891,DOID:0050155,DOID:10907,DOID:936"
