0.5126204418,0.5575730064,0,105,105,105,80,66008;TRAK2;N
0.6016772563,0.7587322993,0,105,105,105,80,8473;OGT;N
0.3262849389,0.4702728401,0,105,105,105,80,"2561;GABRB2;DOID:1574,DOID:1561,DOID:3324,DOID:303,DOID:150,DOID:0050741,DOID:3312,DOID:9973,DOID:2468,DOID:4,DOID:5419,DOID:302"
0.2895497638,0.40985078,0,105,105,105,80,"3759;KCNJ2;DOID:1561,DOID:161,DOID:0050434,DOID:0060675,DOID:13884,DOID:0060677,DOID:4,DOID:0060676,DOID:0060036,DOID:0060224,DOID:0050700,DOID:0060071,DOID:16,DOID:12139,DOID:530,DOID:1596,DOID:0060674,DOID:693,DOID:10273,DOID:0110213,DOID:1287,DOID:77,DOID:1470,DOID:2030,DOID:14566,DOID:0060678,DOID:6498,DOID:7,DOID:3324,DOID:0050815,DOID:2843,DOID:0050650,DOID:37,DOID:4964,DOID:674,DOID:1492,DOID:114,DOID:863,DOID:1091,DOID:214,DOID:0080015,DOID:0050824,DOID:1595,DOID:10348,DOID:0050155,DOID:8866,DOID:150,DOID:2848,DOID:0050793,DOID:403,DOID:0060679,DOID:0050567"
0.5223543303,0.5677647511,0,105,105,105,80,"22906;TRAK1;DOID:1561,DOID:150,DOID:2468,DOID:4,DOID:5419"
0.282144664,0.6226972386,0,105,105,105,80,"4928;NUP98;DOID:2531,DOID:1240,DOID:9119,DOID:0050686,DOID:0060083,DOID:162,DOID:4,DOID:14566,DOID:8692"
0.6715964612,0.1822280104,0,105,105,105,80,"1994;ELAVL1;DOID:345,DOID:15,DOID:7,DOID:289,DOID:288,DOID:229,DOID:4"
0.4318253755,0.6818679815,0,105,105,105,80,"8481;OFD1;DOID:0060376,DOID:0060229,DOID:5691,DOID:2277,DOID:4,DOID:870,DOID:2256,DOID:1443,DOID:0050161,DOID:1279,DOID:557,DOID:1924,DOID:576,DOID:11771,DOID:0050782,DOID:0060038,DOID:77,DOID:10124,DOID:1432,DOID:331,DOID:0050828,DOID:0060359,DOID:4535,DOID:0050739,DOID:0060158,DOID:1492,DOID:0060316,DOID:13501,DOID:0050777,DOID:850,DOID:0050013,DOID:9562,DOID:216,DOID:5614,DOID:2018,DOID:11514,DOID:13714,DOID:14159,DOID:0050144,DOID:9970,DOID:11836,DOID:4258,DOID:8466,DOID:1756,DOID:0050735,DOID:1682,DOID:0060037,DOID:0050177,DOID:12960,DOID:10825,DOID:1891,DOID:11971,DOID:5295,DOID:28,DOID:11832,DOID:110,DOID:0110213,DOID:26,DOID:4501,DOID:8927,DOID:630,DOID:17,DOID:1686,DOID:0050736,DOID:0110594,DOID:0060237,DOID:114,DOID:552,DOID:0080015,DOID:0060320,DOID:374,DOID:0060309,DOID:0060232,DOID:14524,DOID:0110719,DOID:3118,DOID:0050155,DOID:18,DOID:1573,DOID:936,DOID:2907,DOID:0050567,DOID:10944,DOID:13911,DOID:10908,DOID:8501,DOID:11661,DOID:0080001,DOID:13909,DOID:987,DOID:574,DOID:13399,DOID:13912,DOID:693,DOID:0060340,DOID:2786,DOID:0080006,DOID:65,DOID:0060703,DOID:225,DOID:0050591,DOID:0110716,DOID:4194,DOID:1826,DOID:898,DOID:1287,DOID:1579,DOID:2952,DOID:10584,DOID:5656,DOID:10763,DOID:863,DOID:11105,DOID:0060263,DOID:1091,DOID:5723,DOID:1148,DOID:0060599,DOID:0060823,DOID:403,DOID:83,DOID:5082,DOID:0050572,DOID:654,DOID:10141,DOID:0014667,DOID:9650,DOID:16,DOID:421,DOID:0060248,DOID:0110717,DOID:178,DOID:409,DOID:13174,DOID:10003,DOID:10126,DOID:13910,DOID:0050737,DOID:7,DOID:1393,DOID:674,DOID:0060380,DOID:5679,DOID:214,DOID:0110718,DOID:0050778,DOID:0050888,DOID:539,DOID:150,DOID:2742,DOID:1428,DOID:1059,DOID:9649,DOID:11193,DOID:1934,DOID:2340"
0.4524216691,0.6313541976,0,105,105,105,80,81610;FAM83D;N
0.4164919181,0.3578205371,0,105,105,105,80,51361;HOOK1;N
0.589025825,0.8717130423,0,105,105,105,80,221937;FOXK1;N
0.7003503167,0.5513267226,0,105,105,105,80,"64837;KLC2;DOID:7,DOID:0060491,DOID:863,DOID:4,DOID:1289,DOID:331"
0.5153420302,0.5587083986,0,105,105,105,80,89953;KLC4;N
0.6797871512,0.3363199824,0,105,105,105,80,121441;NEDD1;N
0.4787436095,0.5138712504,0,105,105,105,80,"23095;KIF1B;DOID:2377,DOID:170,DOID:0110267,DOID:2431,DOID:0110259,DOID:254,DOID:471,DOID:4,DOID:0110271,DOID:870,DOID:0110255,DOID:0110262,DOID:557,DOID:3213,DOID:0110227,DOID:576,DOID:0060072,DOID:74,DOID:2388,DOID:0110252,DOID:14566,DOID:0110265,DOID:331,DOID:0050828,DOID:0110264,DOID:483,DOID:0110253,DOID:0060158,DOID:1492,DOID:0110236,DOID:0110254,DOID:0110230,DOID:0110229,DOID:5614,DOID:0110268,DOID:10021,DOID:1289,DOID:175,DOID:0110263,DOID:10575,DOID:10595,DOID:0110246,DOID:3316,DOID:0050771,DOID:110,DOID:0050686,DOID:0110261,DOID:0110251,DOID:182,DOID:468,DOID:1247,DOID:114,DOID:3093,DOID:2621,DOID:10154,DOID:3165,DOID:3953,DOID:0110266,DOID:0050155,DOID:18,DOID:0110260,DOID:0110270,DOID:0110242,DOID:1475,DOID:769,DOID:574,DOID:474,DOID:0110239,DOID:176,DOID:0110238,DOID:0110228,DOID:3119,DOID:1287,DOID:0050539,DOID:0110269,DOID:469,DOID:0110243,DOID:440,DOID:484,DOID:0110272,DOID:863,DOID:2972,DOID:1192,DOID:0110245,DOID:117,DOID:83,DOID:2213,DOID:0110256,DOID:12678,DOID:255,DOID:2725,DOID:0110240,DOID:0014667,DOID:0110235,DOID:0110258,DOID:0110154,DOID:0060084,DOID:0060085,DOID:0060121,DOID:0110257,DOID:277,DOID:0110232,DOID:0050032,DOID:0110248,DOID:11561,DOID:178,DOID:10155,DOID:7,DOID:0110237,DOID:0110241,DOID:0110249,DOID:5679,DOID:2485,DOID:0110233,DOID:6000,DOID:0110234,DOID:0110231,DOID:3850,DOID:162,DOID:12679,DOID:0110250"
0.2329645321,0.6977982826,0,105,105,105,80,5565;PRKAB2;N
0.3632717734,0.6833527753,0,105,105,105,80,"5562;PRKAA1;DOID:4,DOID:10534,DOID:11716,DOID:0014667,DOID:9351,DOID:0060158,DOID:0050686,DOID:4194,DOID:10603,DOID:4195,DOID:3119,DOID:162,DOID:0050013,DOID:14566"
0.4950166887,0.4836619012,0,105,105,105,80,5571;PRKAG1;N
0.3834792284,0.5912931792,0,105,105,105,80,"5347;PLK1;DOID:3071,DOID:2531,DOID:1240,DOID:3068,DOID:0050687,DOID:5076,DOID:0050686,DOID:0060083,DOID:162,DOID:4,DOID:3070,DOID:14566,DOID:3069"
0.422382611,0.1890475209,0,105,105,105,80,10651;MTX2;N
0.4300496805,0.6886933479,0,105,105,105,80,79649;MAP7D3;N
0.4363033624,0.1871894683,0,105,105,105,80,55288;RHOT1;N
0.5910190845,0.8788052854,0,105,105,105,80,3831;KLC1;N
0.5306217312,0.5370976664,0,105,105,105,80,"3800;KIF5C;DOID:5691,DOID:4,DOID:2490,DOID:345,DOID:11832,DOID:12697,DOID:780,DOID:229,DOID:1826,DOID:331,DOID:7,DOID:15,DOID:12835,DOID:1393,DOID:1492,DOID:863,DOID:0080015,DOID:5614,DOID:3891,DOID:0050155,DOID:10907,DOID:936"
0.5294412153,0.5391242385,0,105,105,105,80,"3799;KIF5B;DOID:0050615,DOID:1324,DOID:0014667,DOID:9351,DOID:0060158,DOID:0050686,DOID:1837,DOID:4194,DOID:3905,DOID:9352,DOID:162,DOID:4,DOID:0050013,DOID:14566,DOID:3908"
0.5336543155,0.5421196352,0,105,105,105,80,"3798;KIF5A;DOID:65,DOID:7,DOID:7148,DOID:2476,DOID:0110763,DOID:0080001,DOID:863,DOID:3342,DOID:4,DOID:17,DOID:607,DOID:848,DOID:331"
0.7585625581,0.5766229792,0,105,105,105,80,131405;TRIM71;N
0.5091429614,0.570296448,0,105,105,105,80,283643;C14orf80;N
0.4509730274,0.5485566692,0,105,105,105,80,"2932;GSK3B;DOID:1561,DOID:4873,DOID:11870,DOID:0110039,DOID:9455,DOID:0110047,DOID:0014667,DOID:1289,DOID:5854,DOID:3312,DOID:10286,DOID:0110043,DOID:4,DOID:10825,DOID:12139,DOID:423,DOID:1596,DOID:1443,DOID:707,DOID:225,DOID:0110048,DOID:0050686,DOID:5844,DOID:3393,DOID:0080000,DOID:14503,DOID:178,DOID:680,DOID:1287,DOID:17,DOID:1470,DOID:2030,DOID:14566,DOID:5419,DOID:9408,DOID:331,DOID:0110046,DOID:3211,DOID:0050828,DOID:7,DOID:2531,DOID:3324,DOID:66,DOID:0110041,DOID:12377,DOID:0060073,DOID:4964,DOID:10652,DOID:114,DOID:863,DOID:2468,DOID:10763,DOID:0110729,DOID:0110035,DOID:0110037,DOID:0110038,DOID:193,DOID:1595,DOID:0110045,DOID:10283,DOID:6000,DOID:767,DOID:655,DOID:0060058,DOID:150,DOID:2848,DOID:14525,DOID:0060083,DOID:936,DOID:11847,DOID:162,DOID:0110044,DOID:3856,DOID:8675,DOID:231,DOID:0060060"
