locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
YBL024W,NCL1,1,350,NE,Nonessential
YBL025W,RRN10,1,350,NE,Nonessential
YBL026W,LSM2,1,350,E,Essential
YBL027W,RPL19B,1,350,NE,Nonessential
YBL028C,YBL028C,1,350,NE,Nonessential
YBL029C-A,YBL029C-A,1,350,NE,Nonessential
YBL029W,YBL029W,1,350,NE,Nonessential
YBL030C,PET9,1,350,E,Essential
YBL031W,SHE1,1,350,NE,Nonessential
YBL032W,HEK2,1,350,NE,Nonessential
YBL033C,RIB1,1,350,NE,Nonessential
YBL034C,STU1,1,350,E,Essential
YBL035C,POL12,1,350,E,Essential
YBL036C,YBL036C,1,350,NE,Nonessential
YBL037W,APL3,1,350,NE,Nonessential
YBL038W,MRPL16,1,350,NE,Nonessential
YBL039C,URA7,1,350,NE,Nonessential
YBL040C,ERD2,1,350,E,Essential
YBL041W,PRE7,1,350,E,Essential
YBL042C,FUI1,1,350,NE,Nonessential
YBL043W,ECM13,1,350,NE,Nonessential
YBL044W,YBL044W,1,350,NE,Nonessential
YBL045C,COR1,1,350,NE,Nonessential
YBL046W,PSY4,1,350,NE,Nonessential
YBL047C,EDE1,1,350,NE,Nonessential
YBL049W,MOH1,1,350,NE,Nonessential
YBL050W,SEC17,1,350,E,Essential
YBL051C,PIN4,1,350,NE,Nonessential
YBL052C,SAS3,1,350,NE,Nonessential
YBL054W,TOD6,1,350,NE,Nonessential
YBL055C,YBL055C,1,350,NE,Nonessential
YBL056W,PTC3,1,350,NE,Nonessential
YBL057C,PTH2,1,350,NE,Nonessential
YBL058W,SHP1,1,350,NE,Nonessential
YBL059W,YBL059W,1,350,NE,Nonessential
YBL060W,YEL1,1,350,NE,Nonessential
YBL061C,SKT5,1,350,NE,Nonessential
YBL063W,KIP1,1,350,NE,Nonessential
YBL064C,PRX1,1,350,NE,Nonessential
YBL066C,SEF1,1,350,NE,Nonessential
YBL067C,UBP13,1,350,NE,Nonessential
YBL068W,PRS4,1,350,NE,Nonessential
YBL069W,AST1,1,350,NE,Nonessential
YBL071C-B,YBL071C-B,1,350,NE,Nonessential
YBL071W-A,KTI11,1,350,NE,Nonessential
YBL072C,RPS8A,1,350,NE,Nonessential
YBL074C,AAR2,1,350,E,Essential
YBL075C,SSA3,1,350,NE,Nonessential
YBL076C,ILS1,1,350,E,Essential
YBL078C,ATG8,1,350,NE,Nonessential
YBL079W,NUP170,1,350,NE,Nonessential
YBL080C,PET112,1,350,NE,Nonessential
YBL081W,YBL081W,1,350,NE,Nonessential
YBL082C,ALG3,1,350,NE,Nonessential
YBL084C,CDC27,1,350,E,Essential
YBL085W,BOI1,1,350,NE,Nonessential
YBL086C,YBL086C,1,350,NE,Nonessential
YBL087C,RPL23A,1,350,NE,Nonessential
YBL088C,TEL1,1,350,NE,Nonessential
YBL089W,AVT5,1,350,NE,Nonessential
YBL090W,MRP21,1,350,NE,Nonessential
YBL091C,MAP2,1,350,NE,Nonessential
YBL091C-A,SCS22,1,350,NE,Nonessential
YBL092W,RPL32,1,350,E,Essential
YBL093C,ROX3,1,350,NE,Nonessential
YBL095W,YBL095W,1,350,NE,Nonessential
YBL097W,BRN1,1,350,E,Essential
YBL098W,BNA4,1,350,NE,Nonessential
YBL099W,ATP1,1,350,NE,Nonessential
YBL100W-A,YBL100W-A,1,350,NE,Nonessential
YBL100W-B,YBL100W-B,1,350,NE,Nonessential
YBL101C,ECM21,1,350,NE,Nonessential
YBL102W,SFT2,1,350,NE,Nonessential
YBL103C,RTG3,1,350,NE,Nonessential
YBL104C,YBL104C,1,350,NE,Nonessential
YBL105C,PKC1,1,350,E,Essential
YBL106C,SRO77,1,350,NE,Nonessential
YBL107C,YBL107C,1,350,NE,Nonessential
YBR001C,NTH2,1,350,NE,Nonessential
YBR002C,RER2,1,350,E,Essential
YBR003W,COQ1,1,350,NE,Nonessential
YBR004C,GPI18,1,350,E,Essential
YBR005W,RCR1,1,350,NE,Nonessential
YBR006W,UGA2,1,350,NE,Nonessential
YBR007C,DSF2,1,350,NE,Nonessential
YBR008C,FLR1,1,350,NE,Nonessential
YBR009C,HHF1,1,350,NE,Nonessential
YBR010W,HHT1,1,350,NE,Nonessential
YBR011C,IPP1,1,350,E,Essential
YBR012W-A,YBR012W-A,1,350,NE,Nonessential
YBR012W-B,YBR012W-B,1,350,NE,Nonessential
YBR013C,YBR013C,1,350,NE,Nonessential
YBR014C,GRX7,1,350,NE,Nonessential
YBR015C,MNN2,1,350,NE,Nonessential
YBR016W,YBR016W,1,350,NE,Nonessential
YBR017C,KAP104,1,350,NE,Nonessential
YBR018C,GAL7,1,350,NE,Nonessential
YBR019C,GAL10,1,350,NE,Nonessential
YBR020W,GAL1,1,350,NE,Nonessential
YBR021W,FUR4,1,350,NE,Nonessential
YBR022W,POA1,1,350,NE,Nonessential
YBR023C,CHS3,1,350,NE,Nonessential
YBR024W,SCO2,1,350,NE,Nonessential
YBR025C,OLA1,1,350,NE,Nonessential
YBR026C,ETR1,1,350,NE,Nonessential
YBR028C,YBR028C,1,350,NE,Nonessential
YBR029C,CDS1,1,350,E,Essential
YBR030W,RKM3,1,350,NE,Nonessential
YBR031W,RPL4A,1,350,NE,Nonessential
YBR033W,EDS1,1,350,NE,Nonessential
YBR034C,HMT1,1,350,NE,Nonessential
YBR035C,PDX3,1,350,NE,Nonessential
