locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
YDR473C,PRP3,1,350,E,Essential
YDR475C,JIP4,1,350,NE,Nonessential
YDR476C,YDR476C,1,350,NE,Nonessential
YDR477W,SNF1,1,350,NE,Nonessential
YDR478W,SNM1,1,350,E,Essential
YDR479C,PEX29,1,350,NE,Nonessential
YDR480W,DIG2,1,350,NE,Nonessential
YDR481C,PHO8,1,350,NE,Nonessential
YDR482C,CWC21,1,350,NE,Nonessential
YDR483W,KRE2,1,350,NE,Nonessential
YDR484W,VPS52,1,350,NE,Nonessential
YDR485C,VPS72,1,350,NE,Nonessential
YDR486C,VPS60,1,350,NE,Nonessential
YDR487C,RIB3,1,350,E,Essential
YDR488C,PAC11,1,350,NE,Nonessential
YDR489W,SLD5,1,350,E,Essential
YDR490C,PKH1,1,350,NE,Nonessential
YDR492W,IZH1,1,350,NE,Nonessential
YDR493W,MZM1,1,350,NE,Nonessential
YDR494W,RSM28,1,350,NE,Nonessential
YDR495C,VPS3,1,350,NE,Nonessential
YDR496C,PUF6,1,350,NE,Nonessential
YDR497C,ITR1,1,350,NE,Nonessential
YDR498C,SEC20,1,350,E,Essential
YDR499W,LCD1,1,350,E,Essential
YDR500C,RPL37B,1,350,NE,Nonessential
YDR501W,PLM2,1,350,NE,Nonessential
YDR502C,SAM2,1,350,NE,Nonessential
YDR503C,LPP1,1,350,NE,Nonessential
YDR504C,SPG3,1,350,NE,Nonessential
YDR505C,PSP1,1,350,NE,Nonessential
YDR506C,YDR506C,1,350,NE,Nonessential
YDR507C,GIN4,1,350,NE,Nonessential
YDR508C,GNP1,1,350,NE,Nonessential
YDR510W,SMT3,1,350,E,Essential
YDR511W,ACN9,1,350,NE,Nonessential
YDR512C,EMI1,1,350,NE,Nonessential
YDR513W,GRX2,1,350,NE,Nonessential
YDR514C,YDR514C,1,350,NE,Nonessential
YDR515W,SLF1,1,350,NE,Nonessential
YDR516C,EMI2,1,350,NE,Nonessential
YDR517W,GRH1,1,350,NE,Nonessential
YDR518W,EUG1,1,350,NE,Nonessential
YDR519W,FPR2,1,350,NE,Nonessential
YDR520C,URC2,1,350,NE,Nonessential
YDR522C,SPS2,1,350,NE,Nonessential
YDR523C,SPS1,1,350,NE,Nonessential
YDR524C,AGE1,1,350,NE,Nonessential
YDR524C-B,YDR524C-B,1,350,NE,Nonessential
YDR525W-A,SNA2,1,350,NE,Nonessential
YDR527W,RBA50,1,350,E,Essential
YDR528W,HLR1,1,350,NE,Nonessential
YDR529C,QCR7,1,350,NE,Nonessential
YDR530C,APA2,1,350,NE,Nonessential
YDR531W,CAB1,1,350,E,Essential
YDR532C,KRE28,1,350,NE,Nonessential
YDR533C,HSP31,1,350,NE,Nonessential
YDR534C,FIT1,1,350,NE,Nonessential
YDR536W,STL1,1,350,NE,Nonessential
YDR538W,PAD1,1,350,NE,Nonessential
YDR539W,FDC1,1,350,NE,Nonessential
YDR540C,IRC4,1,350,NE,Nonessential
YDR541C,YDR541C,1,350,NE,Nonessential
YEL001C,IRC22,1,350,NE,Nonessential
YEL002C,WBP1,1,350,E,Essential
YEL003W,GIM4,1,350,NE,Nonessential
YEL004W,YEA4,1,350,NE,Nonessential
YEL005C,VAB2,1,350,NE,Nonessential
YEL006W,YEA6,1,350,NE,Nonessential
YEL007W,YEL007W,1,350,NE,Nonessential
YEL009C,GCN4,1,350,NE,Nonessential
YEL011W,GLC3,1,350,NE,Nonessential
YEL012W,UBC8,1,350,NE,Nonessential
YEL013W,VAC8,1,350,NE,Nonessential
YEL015W,EDC3,1,350,NE,Nonessential
YEL016C,NPP2,1,350,NE,Nonessential
YEL017C-A,PMP2,1,350,NE,Nonessential
YEL017W,GTT3,1,350,NE,Nonessential
YEL018W,EAF5,1,350,NE,Nonessential
YEL019C,MMS21,1,350,E,Essential
YEL020C,YEL020C,1,350,NE,Nonessential
YEL022W,GEA2,1,350,NE,Nonessential
YEL023C,YEL023C,1,350,NE,Nonessential
YEL024W,RIP1,1,350,NE,Nonessential
YEL025C,YEL025C,1,350,NE,Nonessential
YEL026W,SNU13,1,350,E,Essential
YEL027W,VMA3,1,350,NE,Nonessential
YEL029C,BUD16,1,350,NE,Nonessential
YEL030W,ECM10,1,350,NE,Nonessential
YEL031W,SPF1,1,350,NE,Nonessential
YEL032W,MCM3,1,350,E,Essential
YEL033W,MTC7,1,350,NE,Nonessential
YEL034W,HYP2,1,350,E,Essential
YEL035C,UTR5,1,350,E,Essential
YEL036C,ANP1,1,350,NE,Nonessential
YEL037C,RAD23,1,350,NE,Nonessential
YEL038W,UTR4,1,350,NE,Nonessential
YEL039C,CYC7,1,350,NE,Nonessential
YEL040W,UTR2,1,350,NE,Nonessential
YEL041W,YEF1,1,350,NE,Nonessential
YEL042W,GDA1,1,350,NE,Nonessential
YEL043W,YEL043W,1,350,NE,Nonessential
YEL044W,IES6,2,"458,350","E,NE",Conditional
YEL046C,GLY1,1,350,NE,Nonessential
YEL047C,YEL047C,1,350,NE,Nonessential
YEL048C,TCA17,1,350,NE,Nonessential
YEL049W,PAU2,1,350,NE,Nonessential
YEL050C,RML2,1,350,NE,Nonessential
YEL051W,VMA8,1,350,NE,Nonessential
YEL052W,AFG1,1,350,NE,Nonessential
YEL053C,MAK10,1,350,NE,Nonessential
YEL054C,RPL12A,1,350,NE,Nonessential
YEL055C,POL5,1,350,E,Essential
YEL056W,HAT2,1,350,NE,Nonessential
YEL057C,YEL057C,1,350,NE,Nonessential
YEL058W,PCM1,1,350,E,Essential
YEL059C-A,SOM1,1,350,NE,Nonessential
YEL060C,PRB1,1,350,NE,Nonessential
YEL061C,CIN8,1,350,NE,Nonessential
YEL062W,NPR2,1,350,NE,Nonessential
YEL063C,CAN1,1,350,NE,Nonessential
YEL064C,AVT2,1,350,NE,Nonessential
YEL065W,SIT1,1,350,NE,Nonessential
YEL066W,HPA3,1,350,NE,Nonessential
YEL067C,YEL067C,1,350,NE,Nonessential
YEL071W,DLD3,1,350,NE,Nonessential
YEL072W,RMD6,1,350,NE,Nonessential
YER001W,MNN1,1,350,NE,Nonessential
YER002W,NOP16,1,350,NE,Nonessential
YER003C,PMI40,1,350,E,Essential
YER004W,FMP52,1,350,NE,Nonessential
YER005W,YND1,1,350,NE,Nonessential
YER006W,NUG1,1,350,E,Essential
YER007C-A,TMA20,1,350,NE,Nonessential
YER007W,PAC2,1,350,NE,Nonessential
YER008C,SEC3,1,350,E,Essential
YER009W,NTF2,1,350,E,Essential
YER010C,YER010C,1,350,NE,Nonessential
YER011W,TIR1,1,350,NE,Nonessential
YER012W,PRE1,1,350,E,Essential
YER013W,PRP22,1,350,E,Essential
YER014C-A,BUD25,1,350,NE,Nonessential
YER014W,HEM14,1,350,NE,Nonessential
YER015W,FAA2,1,350,NE,Nonessential
YER016W,BIM1,1,350,NE,Nonessential
YER017C,AFG3,1,350,NE,Nonessential
YER018C,SPC25,1,350,E,Essential
YER019C-A,SBH2,2,"458,350","E,NE",Conditional
YER019W,ISC1,1,350,NE,Nonessential
YER020W,GPA2,1,350,NE,Nonessential
YER021W,RPN3,1,350,E,Essential
YER022W,SRB4,1,350,E,Essential
YER023W,PRO3,1,350,E,Essential
YER024W,YAT2,1,350,NE,Nonessential
YER025W,GCD11,1,350,E,Essential
YER026C,CHO1,1,350,NE,Nonessential
YER027C,GAL83,1,350,NE,Nonessential
YER028C,MIG3,1,350,NE,Nonessential
YER029C,SMB1,1,350,E,Essential
YER030W,CHZ1,1,350,NE,Nonessential
YER031C,YPT31,1,350,NE,Nonessential
YER032W,FIR1,1,350,NE,Nonessential
YER033C,ZRG8,1,350,NE,Nonessential
YER034W,YER034W,1,350,NE,Nonessential
YER035W,EDC2,1,350,NE,Nonessential
YER036C,ARB1,1,350,E,Essential
YER037W,PHM8,1,350,NE,Nonessential
YER038C,KRE29,1,350,E,Essential
YER039C,HVG1,1,350,NE,Nonessential
YER039C-A,YER039C-A,1,350,NE,Nonessential
YER040W,GLN3,1,350,NE,Nonessential
YER041W,YEN1,1,350,NE,Nonessential
YER042W,MXR1,1,350,NE,Nonessential
YER043C,SAH1,1,350,E,Essential
YER044C,ERG28,1,350,NE,Nonessential
YER044C-A,MEI4,1,350,NE,Nonessential
YER045C,ACA1,1,350,NE,Nonessential
YER046W,SPO73,1,350,NE,Nonessential
YER047C,SAP1,1,350,NE,Nonessential
YER048C,CAJ1,1,350,NE,Nonessential
YER048W-A,ISD11,1,350,E,Essential
YER049W,TPA1,1,350,NE,Nonessential
YER050C,RSM18,1,350,NE,Nonessential
YER051W,JHD1,1,350,NE,Nonessential
YER052C,HOM3,1,350,NE,Nonessential
YER053C,PIC2,1,350,NE,Nonessential
YER053C-A,YER053C-A,1,350,NE,Nonessential
YER054C,GIP2,1,350,NE,Nonessential
YER055C,HIS1,1,350,NE,Nonessential
YER056C,FCY2,1,350,NE,Nonessential
YER056C-A,RPL34A,1,350,NE,Nonessential
YER057C,HMF1,1,350,NE,Nonessential
YER058W,PET117,1,350,NE,Nonessential
YER059W,PCL6,1,350,NE,Nonessential
YER060W,FCY21,1,350,NE,Nonessential
YER060W-A,FCY22,1,350,NE,Nonessential
YER061C,CEM1,1,350,NE,Nonessential
YER062C,HOR2,1,350,NE,Nonessential
YER063W,THO1,1,350,NE,Nonessential
YER064C,YER064C,1,350,NE,Nonessential
YER065C,ICL1,1,350,NE,Nonessential
YER066W,RRT13,1,350,NE,Nonessential
YER067W,RGI1,1,350,NE,Nonessential
YER068W,MOT2,1,350,NE,Nonessential
YER069W,ARG5,1,350,NE,Nonessential
YER070W,RNR1,1,350,NE,Nonessential
YER071C,YER071C,1,350,NE,Nonessential
YER072W,VTC1,1,350,NE,Nonessential
YER073W,ALD5,1,350,NE,Nonessential
YER074W,RPS24A,1,350,NE,Nonessential
YER074W-A,YOS1,1,350,E,Essential
YER075C,PTP3,1,350,NE,Nonessential
YER076C,YER076C,1,350,NE,Nonessential
YER077C,YER077C,1,350,NE,Nonessential
YER078C,ICP55,1,350,NE,Nonessential
YER079W,YER079W,1,350,NE,Nonessential
YER080W,AIM9,1,350,NE,Nonessential
YER081W,SER3,1,350,NE,Nonessential
YER082C,UTP7,1,350,E,Essential
YER083C,GET2,1,350,NE,Nonessential
YER085C,YER085C,1,350,NE,Nonessential
YER086W,ILV1,1,350,NE,Nonessential
YER087C-B,SBH1,1,350,NE,Nonessential
YER087W,AIM10,1,350,NE,Nonessential
YER088C,DOT6,1,350,NE,Nonessential
YER089C,PTC2,1,350,NE,Nonessential
YER090W,TRP2,1,350,NE,Nonessential
YER091C,MET6,1,350,NE,Nonessential
YER092W,IES5,1,350,NE,Nonessential
YER093C,TSC11,1,350,E,Essential
YER093C-A,AIM11,1,350,NE,Nonessential
YER094C,PUP3,1,350,E,Essential
YER095W,RAD51,1,350,NE,Nonessential
YER096W,SHC1,1,350,NE,Nonessential
YER098W,UBP9,1,350,NE,Nonessential
YER099C,PRS2,1,350,NE,Nonessential
YER101C,AST2,1,350,NE,Nonessential
YER103W,SSA4,1,350,NE,Nonessential
YER104W,RTT105,1,350,E,Essential
YER105C,NUP157,1,350,NE,Nonessential
YER106W,MAM1,1,350,NE,Nonessential
YER107C,GLE2,1,350,NE,Nonessential
YER109C,FLO8,1,350,NE,Nonessential
YER110C,KAP123,1,350,NE,Nonessential
YER111C,SWI4,1,350,NE,Nonessential
YER112W,LSM4,1,350,E,Essential
YER113C,TMN3,1,350,NE,Nonessential
YER114C,BOI2,1,350,NE,Nonessential
YER115C,SPR6,1,350,NE,Nonessential
YER116C,SLX8,1,350,NE,Nonessential
YER117W,RPL23B,1,350,NE,Nonessential
YER118C,SHO1,1,350,NE,Nonessential
YER119C,AVT6,1,350,NE,Nonessential
YER120W,SCS2,1,350,NE,Nonessential
YER121W,YER121W,1,350,NE,Nonessential
YER122C,GLO3,1,350,NE,Nonessential
YER123W,YCK3,1,350,NE,Nonessential
YER124C,DSE1,1,350,NE,Nonessential
YER125W,RSP5,1,350,E,Essential
YER126C,NSA2,1,350,E,Essential
YER127W,LCP5,1,350,E,Essential
YER128W,YER128W,1,350,NE,Nonessential
YER129W,SAK1,1,350,NE,Nonessential
YER130C,YER130C,1,350,NE,Nonessential
YER131W,RPS26B,1,350,NE,Nonessential
YER132C,PMD1,1,350,NE,Nonessential
YER133W,GLC7,1,350,E,Essential
YER134C,YER134C,1,350,NE,Nonessential
YER136W,GDI1,1,350,E,Essential
YER137C,YER137C,1,350,NE,Nonessential
YER137C-A,YER137C-A,1,350,NE,Nonessential
YER138C,YER138C,1,350,NE,Nonessential
YER139C,RTR1,1,350,NE,Nonessential
YER140W,YER140W,1,350,NE,Nonessential
YER141W,COX15,1,350,NE,Nonessential
YER142C,MAG1,1,350,NE,Nonessential
YER143W,DDI1,1,350,NE,Nonessential
YER144C,UBP5,1,350,NE,Nonessential
YER145C,FTR1,1,350,NE,Nonessential
YER146W,LSM5,1,350,E,Essential
YER147C,SCC4,1,350,E,Essential
YER148W,SPT15,1,350,E,Essential
YER149C,PEA2,1,350,NE,Nonessential
YER150W,SPI1,1,350,NE,Nonessential
YER151C,UBP3,1,350,NE,Nonessential
YER152C,YER152C,1,350,NE,Nonessential
YER153C,PET122,1,350,NE,Nonessential
YER154W,OXA1,1,350,NE,Nonessential
YER155C,BEM2,1,350,NE,Nonessential
YER156C,YER156C,1,350,NE,Nonessential
YER157W,COG3,1,350,E,Essential
YER158C,YER158C,1,350,NE,Nonessential
YER159C,BUR6,1,350,E,Essential
YER159C-A,YER159C-A,1,350,NE,Nonessential
YER160C,YER160C,1,350,NE,Nonessential
YER161C,SPT2,1,350,NE,Nonessential
YER162C,RAD4,1,350,NE,Nonessential
YER163C,YER163C,1,350,NE,Nonessential
YER164W,CHD1,1,350,NE,Nonessential
YER165W,PAB1,1,350,E,Essential
YER166W,DNF1,1,350,NE,Nonessential
YER167W,BCK2,1,350,NE,Nonessential
YER168C,CCA1,1,350,E,Essential
YER169W,RPH1,1,350,NE,Nonessential
YER170W,ADK2,1,350,NE,Nonessential
YER171W,RAD3,1,350,E,Essential
YER172C,BRR2,1,350,E,Essential
YER173W,RAD24,1,350,NE,Nonessential
YER174C,GRX4,1,350,NE,Nonessential
YER175C,TMT1,1,350,NE,Nonessential
YER175W-A,YER175W-A,1,350,NE,Nonessential
YER176W,ECM32,1,350,NE,Nonessential
YER177W,BMH1,1,350,NE,Nonessential
YER178W,PDA1,1,350,NE,Nonessential
YER179W,DMC1,1,350,NE,Nonessential
YER180C,ISC10,1,350,NE,Nonessential
YER180C-A,SLO1,1,350,NE,Nonessential
YER182W,FMP10,1,350,NE,Nonessential
YER183C,FAU1,1,350,NE,Nonessential
YER184C,YER184C,1,350,NE,Nonessential
YER185W,PUG1,1,350,NE,Nonessential
YER186C,YER186C,1,350,NE,Nonessential
YER187W,YER187W,1,350,NE,Nonessential
YFL001W,DEG1,1,350,NE,Nonessential
YFL002C,SPB4,1,350,E,Essential
YFL002W-A,YFL002W-A,1,350,NE,Nonessential
YFL002W-B,YFL002W-B,1,350,NE,Nonessential
YFL003C,MSH4,1,350,NE,Nonessential
YFL004W,VTC2,1,350,NE,Nonessential
YFL005W,SEC4,1,350,E,Essential
YFL007W,BLM10,1,350,NE,Nonessential
YFL008W,SMC1,1,350,E,Essential
YFL009W,CDC4,1,350,E,Essential
YFL010C,WWM1,1,350,NE,Nonessential
YFL010W-A,AUA1,1,350,NE,Nonessential
YFL011W,HXT10,1,350,NE,Nonessential
YFL012W,YFL012W,1,350,NE,Nonessential
YFL013C,IES1,1,350,NE,Nonessential
YFL014W,HSP12,1,350,NE,Nonessential
YFL016C,MDJ1,1,350,NE,Nonessential
YFL017C,GNA1,1,350,E,Essential
YFL018C,LPD1,1,350,NE,Nonessential
YFL020C,PAU5,1,350,NE,Nonessential
YFL021W,GAT1,1,350,NE,Nonessential
YFL022C,FRS2,1,350,E,Essential
YFL023W,BUD27,1,350,NE,Nonessential
YFL024C,EPL1,1,350,E,Essential
YFL025C,BST1,1,350,NE,Nonessential
YFL026W,STE2,1,350,NE,Nonessential
YFL027C,GYP8,1,350,NE,Nonessential
YFL028C,CAF16,1,350,NE,Nonessential
YFL029C,CAK1,1,350,E,Essential
YFL030W,AGX1,1,350,NE,Nonessential
YFL031W,HAC1,1,350,NE,Nonessential
YFL033C,RIM15,1,350,NE,Nonessential
YFL034C-A,RPL22B,1,350,NE,Nonessential
YFL034W,YFL034W,1,350,NE,Nonessential
YFL036W,RPO41,1,350,NE,Nonessential
YFL037W,TUB2,1,350,E,Essential
YFL038C,YPT1,1,350,E,Essential
YFL039C,ACT1,1,350,E,Essential
YFL040W,YFL040W,1,350,NE,Nonessential
YFL041W,FET5,1,350,NE,Nonessential
YFL041W-A,YFL041W-A,1,350,NE,Nonessential
YFL042C,YFL042C,1,350,NE,Nonessential
YFL044C,OTU1,1,350,NE,Nonessential
YFL045C,SEC53,1,350,E,Essential
YFL046W,FMP32,1,350,NE,Nonessential
YFL047W,RGD2,1,350,NE,Nonessential
YFL048C,EMP47,1,350,NE,Nonessential
YFL049W,SWP82,1,350,NE,Nonessential
YFL050C,ALR2,1,350,NE,Nonessential
YFL051C,YFL051C,1,350,NE,Nonessential
YFL052W,YFL052W,1,350,NE,Nonessential
YFL053W,DAK2,1,350,NE,Nonessential
YFL054C,YFL054C,1,350,NE,Nonessential
YFL055W,AGP3,1,350,NE,Nonessential
YFL056C,AAD6,1,350,NE,Nonessential
YFL060C,SNO3,1,350,NE,Nonessential
YFR001W,LOC1,1,350,NE,Nonessential
YFR002W,NIC96,1,350,E,Essential
YFR003C,YPI1,1,350,E,Essential
YFR004W,RPN11,1,350,E,Essential
YFR005C,SAD1,1,350,E,Essential
YFR006W,YFR006W,1,350,NE,Nonessential
YFR007W,YFH7,1,350,NE,Nonessential
YFR008W,FAR7,1,350,NE,Nonessential
YFR009W,GCN20,1,350,NE,Nonessential
YFR010W,UBP6,1,350,NE,Nonessential
YFR011C,AIM13,1,350,NE,Nonessential
YFR012W,YFR012W,1,350,NE,Nonessential
YFR012W-A,YFR012W-A,1,350,NE,Nonessential
YFR013W,IOC3,1,350,NE,Nonessential
YFR014C,CMK1,1,350,NE,Nonessential
YFR015C,GSY1,1,350,NE,Nonessential
YFR016C,YFR016C,1,350,NE,Nonessential
YFR017C,YFR017C,1,350,NE,Nonessential
YFR018C,YFR018C,1,350,NE,Nonessential
YFR019W,FAB1,1,350,NE,Nonessential
YFR021W,ATG18,1,350,NE,Nonessential
YFR022W,ROG3,1,350,NE,Nonessential
YFR023W,PES4,1,350,NE,Nonessential
YFR024C-A,LSB3,1,350,NE,Nonessential
YFR025C,HIS2,1,350,NE,Nonessential
YFR026C,ULI1,1,350,NE,Nonessential
YFR027W,ECO1,1,350,E,Essential
YFR028C,CDC14,1,350,E,Essential
YFR029W,PTR3,1,350,E,Essential
YFR030W,MET10,1,350,NE,Nonessential
YFR031C,SMC2,1,350,E,Essential
YFR031C-A,RPL2A,1,350,NE,Nonessential
YFR032C,RRT5,1,350,NE,Nonessential
YFR032C-A,RPL29,1,350,NE,Nonessential
YFR032C-B,YFR032C-B,1,350,NE,Nonessential
YFR033C,QCR6,1,350,NE,Nonessential
YFR034C,PHO4,1,350,NE,Nonessential
YFR035C,YFR035C,1,350,NE,Nonessential
YFR036W,CDC26,1,350,NE,Nonessential
YFR037C,RSC8,1,350,E,Essential
YFR038W,IRC5,1,350,NE,Nonessential
YFR039C,YFR039C,1,350,NE,Nonessential
YFR040W,SAP155,1,350,NE,Nonessential
YFR041C,ERJ5,1,350,NE,Nonessential
YFR042W,KEG1,1,350,E,Essential
YFR043C,IRC6,1,350,NE,Nonessential
YFR044C,DUG1,1,350,NE,Nonessential
YFR045W,YFR045W,1,350,NE,Nonessential
YFR046C,CNN1,1,350,NE,Nonessential
YFR047C,BNA6,1,350,NE,Nonessential
YFR048W,RMD8,1,350,NE,Nonessential
YFR049W,YMR31,1,350,NE,Nonessential
YFR050C,PRE4,1,350,E,Essential
YFR051C,RET2,2,"458,350","NE,E",Conditional
YFR052W,RPN12,1,350,E,Essential
YFR053C,HXK1,1,350,NE,Nonessential
YFR055W,IRC7,1,350,NE,Nonessential
YFR057W,YFR057W,1,350,NE,Nonessential
YGL001C,ERG26,1,350,E,Essential
YGL002W,ERP6,1,350,NE,Nonessential
YGL003C,CDH1,1,350,NE,Nonessential
YGL004C,RPN14,1,350,NE,Nonessential
YGL005C,COG7,1,350,NE,Nonessential
YGL006W,PMC1,1,350,NE,Nonessential
YGL006W-A,YGL006W-A,1,350,NE,Nonessential
YGL007C-A,YGL007C-A,1,350,NE,Nonessential
YGL008C,PMA1,1,350,E,Essential
YGL009C,LEU1,1,350,NE,Nonessential
YGL010W,YGL010W,1,350,NE,Nonessential
YGL011C,SCL1,1,350,E,Essential
YGL012W,ERG4,1,350,NE,Nonessential
YGL013C,PDR1,1,350,NE,Nonessential
YGL014W,PUF4,1,350,NE,Nonessential
YGL015C,YGL015C,1,350,NE,Nonessential
YGL016W,KAP122,1,350,NE,Nonessential
YGL017W,ATE1,1,350,NE,Nonessential
YGL018C,JAC1,1,350,E,Essential
YGL019W,CKB1,1,350,NE,Nonessential
YGL020C,GET1,1,350,NE,Nonessential
YGL021W,ALK1,1,350,NE,Nonessential
YGL022W,STT3,1,350,E,Essential
YGL023C,PIB2,1,350,NE,Nonessential
YGL025C,PGD1,1,350,NE,Nonessential
YGL026C,TRP5,1,350,NE,Nonessential
YGL027C,CWH41,1,350,NE,Nonessential
YGL028C,SCW11,1,350,NE,Nonessential
YGL029W,CGR1,2,"350,458","NE,E",Conditional
YGL030W,RPL30,1,350,E,Essential
YGL031C,RPL24A,1,350,NE,Nonessential
YGL032C,AGA2,1,350,NE,Nonessential
YGL033W,HOP2,1,350,NE,Nonessential
YGL035C,MIG1,1,350,NE,Nonessential
YGL036W,YGL036W,1,350,NE,Nonessential
YGL037C,PNC1,1,350,NE,Nonessential
YGL038C,OCH1,1,350,NE,Nonessential
YGL039W,YGL039W,1,350,NE,Nonessential
YGL040C,HEM2,1,350,E,Essential
YGL041C-B,YGL041C-B,1,350,NE,Nonessential
YGL043W,DST1,1,350,NE,Nonessential
YGL044C,RNA15,1,350,E,Essential
YGL045W,RIM8,1,350,NE,Nonessential
YGL047W,ALG13,1,350,E,Essential
YGL048C,RPT6,1,350,E,Essential
YGL049C,TIF4632,1,350,NE,Nonessential
YGL050W,TYW3,1,350,NE,Nonessential
YGL051W,MST27,1,350,NE,Nonessential
YGL053W,PRM8,1,350,NE,Nonessential
YGL054C,ERV14,1,350,NE,Nonessential
YGL055W,OLE1,1,350,E,Essential
YGL056C,SDS23,1,350,NE,Nonessential
YGL057C,GEP7,1,350,NE,Nonessential
YGL058W,RAD6,1,350,NE,Nonessential
YGL059W,PKP2,1,350,NE,Nonessential
YGL060W,YBP2,1,350,NE,Nonessential
YGL061C,DUO1,1,350,E,Essential
YGL062W,PYC1,1,350,NE,Nonessential
YGL063W,PUS2,1,350,NE,Nonessential
YGL064C,MRH4,1,350,NE,Nonessential
YGL065C,ALG2,1,350,E,Essential
YGL066W,SGF73,1,350,NE,Nonessential
YGL067W,NPY1,1,350,NE,Nonessential
YGL068W,MNP1,1,350,E,Essential
YGL070C,RPB9,1,350,NE,Nonessential
YGL071W,AFT1,1,350,NE,Nonessential
YGL073W,HSF1,1,350,E,Essential
YGL075C,MPS2,1,350,E,Essential
YGL076C,RPL7A,1,350,NE,Nonessential
YGL077C,HNM1,1,350,NE,Nonessential
YGL078C,DBP3,1,350,NE,Nonessential
YGL079W,KXD1,1,350,NE,Nonessential
YGL080W,FMP37,1,350,NE,Nonessential
YGL081W,YGL081W,1,350,NE,Nonessential
YGL082W,YGL082W,1,350,NE,Nonessential
YGL083W,SCY1,1,350,NE,Nonessential
YGL084C,GUP1,1,350,NE,Nonessential
YGL085W,LCL3,1,350,NE,Nonessential
YGL086W,MAD1,1,350,NE,Nonessential
YGL087C,MMS2,1,350,NE,Nonessential
YGL089C,MF(ALPHA)2,1,350,NE,Nonessential
YGL090W,LIF1,1,350,NE,Nonessential
YGL091C,NBP35,1,350,E,Essential
YGL092W,NUP145,1,350,E,Essential
YGL093W,SPC105,1,350,E,Essential
YGL094C,PAN2,1,350,NE,Nonessential
YGL095C,VPS45,1,350,NE,Nonessential
YGL096W,TOS8,1,350,NE,Nonessential
YGL097W,SRM1,1,350,E,Essential
YGL098W,USE1,1,350,E,Essential
YGL099W,LSG1,1,350,E,Essential
YGL100W,SEH1,1,350,NE,Nonessential
YGL101W,YGL101W,1,350,NE,Nonessential
YGL103W,RPL28,1,350,E,Essential
YGL104C,VPS73,1,350,NE,Nonessential
YGL105W,ARC1,1,350,NE,Nonessential
YGL107C,RMD9,1,350,NE,Nonessential
YGL108C,YGL108C,1,350,NE,Nonessential
YGL110C,CUE3,1,350,NE,Nonessential
YGL111W,NSA1,1,350,E,Essential
YGL112C,TAF6,1,350,E,Essential
YGL113W,SLD3,1,350,E,Essential
YGL114W,YGL114W,1,350,NE,Nonessential
YGL115W,SNF4,1,350,NE,Nonessential
YGL116W,CDC20,1,350,E,Essential
YGL117W,YGL117W,1,350,NE,Nonessential
YGL119W,COQ8,1,350,NE,Nonessential
YGL120C,PRP43,1,350,E,Essential
YGL121C,GPG1,1,350,NE,Nonessential
YGL122C,NAB2,1,350,E,Essential
YGL123W,RPS2,1,350,E,Essential
YGL124C,MON1,1,350,NE,Nonessential
YGL125W,MET13,1,350,NE,Nonessential
YGL126W,SCS3,1,350,NE,Nonessential
YGL127C,SOH1,1,350,NE,Nonessential
YGL128C,CWC23,1,350,E,Essential
YGL129C,RSM23,1,350,NE,Nonessential
YGL130W,CEG1,1,350,E,Essential
YGL131C,SNT2,1,350,NE,Nonessential
YGL133W,ITC1,1,350,NE,Nonessential
YGL134W,PCL10,1,350,NE,Nonessential
YGL135W,RPL1B,1,350,NE,Nonessential
YGL136C,MRM2,1,350,NE,Nonessential
YGL137W,SEC27,1,350,E,Essential
YGL138C,YGL138C,1,350,NE,Nonessential
YGL139W,FLC3,1,350,NE,Nonessential
YGL140C,YGL140C,1,350,NE,Nonessential
YGL141W,HUL5,1,350,NE,Nonessential
YGL142C,GPI10,1,350,E,Essential
YGL143C,MRF1,1,350,NE,Nonessential
YGL144C,ROG1,1,350,NE,Nonessential
YGL145W,TIP20,1,350,E,Essential
YGL146C,RRT6,1,350,NE,Nonessential
YGL147C,RPL9A,1,350,NE,Nonessential
YGL148W,ARO2,1,350,NE,Nonessential
YGL150C,INO80,1,350,E,Essential
YGL151W,NUT1,1,350,NE,Nonessential
YGL153W,PEX14,1,350,NE,Nonessential
YGL154C,LYS5,1,350,NE,Nonessential
YGL155W,CDC43,1,350,E,Essential
YGL156W,AMS1,1,350,NE,Nonessential
YGL157W,ARI1,1,350,NE,Nonessential
YGL158W,RCK1,1,350,NE,Nonessential
YGL159W,YGL159W,1,350,NE,Nonessential
YGL160W,AIM14,1,350,NE,Nonessential
YGL161C,YIP5,1,350,NE,Nonessential
YGL162W,SUT1,1,350,NE,Nonessential
YGL163C,RAD54,1,350,NE,Nonessential
YGL164C,YRB30,1,350,NE,Nonessential
YGL166W,CUP2,1,350,NE,Nonessential
YGL167C,PMR1,1,350,NE,Nonessential
YGL168W,HUR1,1,350,NE,Nonessential
YGL169W,SUA5,1,350,E,Essential
YGL170C,SPO74,1,350,NE,Nonessential
YGL171W,ROK1,1,350,E,Essential
YGL172W,NUP49,1,350,E,Essential
YGL173C,KEM1,1,350,NE,Nonessential
YGL174W,BUD13,1,350,NE,Nonessential
YGL175C,SAE2,1,350,NE,Nonessential
YGL176C,YGL176C,1,350,NE,Nonessential
YGL178W,MPT5,1,350,NE,Nonessential
